store_cd,store_nm,address,x,y,sale_avg,x_y_list,parking_200m,parking_500m,parking_1000m,academy_200m,academy_500m,academy_1000m,accommodation_200m,accommodation_500m,accommodation_1000m,bike_count_200m,bike_count_500m,bike_count_1000m,bike_station_200m,bike_station_500m,bike_station_1000m,school_500m,mart_1000m,trdar_cd,apt_avg_ae,apt_avg_price,tot_flpop_co,cnsmr_popltn_co,tot_repop_co,total_subpas,sub_400m,sub_500m,have_sub,con_20m,con_30m,con_40m,total_worker,active_pop,close_cr_dis,have_cr,cr_in_50m,cr_in_100m,cr_in_500m,close_st_dis,have_st,st_in_50m,st_in_500m,st_in_1000m,passenger_sum_50m,passenger_sum_500m,trdar_se_a,trdar_se_r,trdar_se_u,trdar_se_d,school_yn,mart_yn,starbucks_100,starbucks_500,land_use_intensity,official_land_value,building_counts
10014,개포1호점,서울특별시 강남구 선릉로48 (개포동),127.059737727687,37.4836059941898,2975688.888888889,"[127.059737727687, 37.4836059941898]",0,1,22,21,41,115,0,0,0,2503.0,8137.0,91592.0,18.0,38.0,224.0,6,1,1000928,57.0,279363095.0,547557,87541.03987447007,1623,5496.136752136752,1,1,1,1,1,1,466.0,747,17,1,1,2,38,116,0,0,36,122,0.0,1713081.0,1,0,0,0,1,1,0.0,0.0,120.83,3846887.3,86.0
10015,개포2호점,서울특별시 강남구 개포로512(개포동),127.068842082027,37.4893072141263,5267541.0,"[127.068842082027, 37.4893072141263]",3,3,34,37,43,245,0,0,0,0.0,49669.0,101875.0,0.0,80.0,161.0,4,0,1001475,53.0,251141446.0,42608,87541.03987447007,7,5496.136752136752,1,2,1,1,1,1,138.0,1788,15,1,3,4,65,43,1,4,38,102,202999.0,2775399.0,0,1,0,0,1,0,0.0,0.0,92.32,6539598.82,26.0
10250,소공점,서울시 중구 남대문로7길 11소공동,126.981249523015,37.5636892672995,35317750.666666664,"[126.981249523015, 37.5636892672995]",20,88,334,2,36,196,7,82,272,4810.0,179217.0,616946.0,22.0,172.0,659.0,0,0,1001492,75.0,541220399.0,3569497,386700.16141542,1104,35980.64102564103,1,3,1,1,2,2,104830.0,35,45,1,2,5,161,62,0,0,48,164,0.0,18503415.0,0,0,1,0,0,0,1.0,15.0,437.88,38722545.14,39.0
10280,망우점,서울 중랑구 망우동340-22,127.103342001667,37.6006006646591,2023483.6666666667,"[127.103342001667, 37.6006006646591]",3,15,55,8,36,150,2,7,20,20961.0,20961.0,162378.0,20.0,20.0,240.0,5,1,1000257,58.0,131040098.0,1013753,584148.9281456345,2469,21881.016025641027,2,2,1,1,1,1,104830.0,1253,16,1,5,6,86,19,1,2,51,137,279493.0,3446215.0,0,0,1,0,1,1,0.0,0.0,131.72,2769418.72,236.0
10281,망원점,서울 마포구 망원로69 1층,126.90456553807,37.5574153066539,3418450.111111111,"[126.90456553807, 37.5574153066539]",3,15,44,31,88,154,1,8,19,0.0,126259.0,604349.0,0.0,60.0,280.0,2,0,1001391,48.0,173992934.0,316414,373467.47491279966,589,16948.52564102564,1,1,1,1,1,1,104830.0,1563,9,1,6,11,89,15,1,4,87,176,199841.0,4384890.0,0,0,1,0,1,0,0.0,0.0,152.99,5001474.55,196.0
10327,논현13호점,서울특별시 강남구 학동로43길14 (논현동),127.037507697417,37.517063459454,7891714.777777778,"[127.037507697417, 37.517063459454]",10,50,168,20,87,292,3,7,36,0.0,48446.0,126195.0,0.0,120.0,266.0,1,1,1001111,55.0,314151888.0,778421,266242.251887965,509,84362.41025641025,0,1,0,1,1,1,114.0,1824,13,1,6,8,131,152,0,0,30,97,0.0,4422225.0,1,0,0,0,1,1,0.0,3.0,218.62,6898157.1,110.0
10375,공릉점,서울특별시 노원구 공릉로 101101 (공릉동),127.073821318894,37.6248431089169,18557270.222222224,"[127.073821318894, 37.6248431089169]",0,8,31,14,61,157,0,1,11,0.0,111447.0,398971.0,0.0,50.0,240.0,1,1,1000379,63.0,159015564.0,1007739,264488.883460785,3777,40106.35897435897,1,2,1,0,0,0,190.0,1264,57,0,0,4,55,74,0,0,59,209,0.0,3378481.0,0,1,0,0,1,1,0.0,2.0,101.06,2788105.16,148.0
10691,봉천3호점,서울특별시 관악구 남부순환로233길11(봉천동),126.957888752445,37.4799758583198,2754075.888888889,"[126.957888752445, 37.4799758583198]",1,15,62,11,45,219,1,16,35,7637.0,57608.0,185799.0,24.0,89.0,283.0,5,1,1000836,51.0,158485045.0,774902,78039.88104869994,3282,16529.358974358976,0,0,0,0,0,0,3516.0,1262,39,0,0,4,52,56,0,0,51,139,0.0,17582707.0,0,0,0,1,1,1,0.0,2.0,134.72,4016960.29,140.0
10720,서초19호점,서울특별시 서초구 사임당로17길113(서초동),127.018795301601,37.4933625596371,3930757.3333333335,"[127.018795301601, 37.4933625596371]",5,35,186,26,118,497,4,7,33,0.0,52688.0,173816.0,0.0,87.0,274.0,1,1,1000865,77.0,336774809.0,488264,270086.17497763486,1059,68633.10256410256,0,1,0,1,1,1,1230.0,1330,129,0,0,0,86,112,0,0,52,203,0.0,4398257.0,1,0,0,0,1,1,0.0,2.0,192.96,8994396.45,99.0
10726,산천점,서울특별시 용산구 새창로8길 117산천동,126.95193209445,37.5366099344178,4276728.222222222,"[126.95193209445, 37.5366099344178]",0,4,88,1,67,165,0,2,21,0.0,13754.0,352235.0,0.0,29.0,249.0,4,2,1000461,62.0,331164835.0,461686,322312.5764085448,2938,30148.833333333336,0,1,0,0,0,0,250.0,1943,37,1,1,4,66,115,0,0,62,245,0.0,2418928.0,1,0,0,0,1,1,0.0,0.0,182.0,4144808.23,65.0
10857,양재7호점,서울 서초구 마방로12 (양재동),127.040288947605,37.4738535929322,6044642.666666667,"[127.040288947605, 37.4738535929322]",2,20,77,5,34,126,1,2,5,17566.0,121279.0,245201.0,20.0,100.0,280.0,3,1,1000859,59.0,285280921.0,465505,322312.5764085448,1469,30148.833333333336,0,0,0,1,1,1,1939.0,1011,130,0,0,0,75,156,0,0,37,147,0.0,4323365.0,1,0,0,0,1,1,0.0,0.0,67.38,5549242.09,119.0
10958,발산점,서울특별시 강서구 강서로47길25(내발산동),126.83479779237,37.5526544699313,3559501.888888889,"[126.83479779237, 37.5526544699313]",6,10,79,60,150,357,0,1,5,45032.0,94306.0,593246.0,20.0,69.0,323.0,9,2,1000561,59.0,192780456.0,1040291,273945.08412175515,4280,23100.410256410258,0,1,0,1,1,1,825.0,1898,39,1,1,2,68,180,0,0,31,134,0.0,4268665.0,1,0,0,0,1,1,0.0,1.0,115.09,2132077.91,120.0
11211,당산3호점,서울 영등포구 영등포로 157영등포동,126.899130744815,37.5210957231099,5171257.666666667,"[126.899130744815, 37.5210957231099]",6,39,159,1,58,221,5,17,96,0.0,217890.0,738226.0,0.0,122.0,453.0,2,1,1000727,30.0,158757220.0,461653,355993.73486410524,2065,15490.088319088318,1,1,1,1,1,1,3582.0,1662,15,1,3,3,107,197,0,0,48,171,0.0,6284743.0,1,0,0,0,1,1,0.0,1.0,185.13,4252359.69,265.0
12214,청계스카이렉스점,서울특별시 동대문구 신설동청계천로417 대성스카이렉스 1층 101호,127.023906598956,37.5720071392864,3204510.4444444445,"[127.023906598956, 37.5720071392864]",13,48,140,5,41,151,2,34,98,81231.0,222323.0,584515.0,40.0,140.0,431.0,0,1,1000170,51.0,134372222.0,225115,274851.7404451397,215,19613.25641025641,2,2,1,1,1,1,327.0,563,41,1,3,14,110,93,0,0,43,173,0.0,8003428.0,1,0,0,0,0,1,0.0,2.0,205.07,2950002.74,1.0
12308,숙대역점,서울특별시 용산구 한강대로283,126.97195776476,37.5434381287458,5320983.111111111,"[126.97195776476, 37.5434381287458]",4,25,51,11,31,107,14,27,54,49877.0,91344.0,182232.0,60.0,100.0,269.0,5,0,1001168,59.0,311193122.0,130288,429470.36218564486,243,46889.97435897436,1,1,1,1,1,1,327.0,352,25,1,3,6,58,24,1,4,50,153,1879809.0,9479120.0,1,0,0,0,1,0,2.0,3.0,186.42,11398682.52,150.0
12991,신사한나래점,서울특별시 강남구 논현로 159길10 (신사동),127.027338798625,37.5231163060183,2274501.111111111,"[127.027338798625, 37.5231163060183]",9,54,184,77,254,496,1,11,30,0.0,57107.0,175213.0,0.0,80.0,220.0,1,1,1001135,58.0,293419688.0,3443163,151621.41075561498,3791,73690.14102564103,1,1,1,1,1,1,301.0,862,34,1,1,5,128,86,0,0,18,69,0.0,5276882.0,1,0,0,0,1,1,0.0,6.0,254.61,7906437.3,163.0
13305,롯데월드키자니아점,서울특별시 송파구 올림픽로 240(잠실동),127.098141751177,37.5113096112036,18938157.0,"[127.098141751177, 37.5113096112036]",3,23,87,0,11,288,1,2,16,26006.0,280774.0,716619.0,20.0,110.0,373.0,2,4,1001495,89.0,527347107.0,2956754,151621.41075561498,8221,73690.14102564103,1,1,1,4,5,5,4980.0,1171,100,0,0,0,48,74,0,0,22,83,0.0,13512001.0,1,0,0,0,1,1,0.0,3.0,210.28,36869340.8,44.0
13321,여의점,서울특별시 영등포구 여의서로 43여의도동,126.924843194287,37.5307295655332,5840008.666666667,"[126.924843194287, 37.5307295655332]",7,29,105,0,5,18,0,7,14,44663.0,146158.0,706060.0,20.0,70.0,320.0,0,0,1001144,144.0,822659284.0,210853,1086069.3728881236,800,26104.778846153844,0,0,0,1,1,1,4055.0,283,28,1,4,6,54,7,1,2,16,52,772753.0,3069453.0,0,0,0,1,0,0,0.0,3.0,82.1,7016001.71,10.0
13335,불광역점,서울특별시 은평구 불광로 29(대조동),126.929014125244,37.6109342260839,2143914.4444444445,"[126.929014125244, 37.6109342260839]",7,16,41,11,45,150,7,25,35,19465.0,63655.0,209196.0,20.0,100.0,297.0,2,1,1001248,46.0,121161351.0,288839,253024.55143981983,536,15705.833333333332,2,2,1,0,0,0,14671.0,1038,16,1,2,7,75,69,0,0,54,154,0.0,7542145.0,0,0,0,1,1,1,0.0,1.0,158.49,7006620.08,163.0
13368,구로궁동점,서울특별시 구로구 부일로9길 92,126.824255163537,37.4964368619747,1647166.0,"[126.824255163537, 37.4964368619747]",0,2,10,7,14,36,0,0,0,0.0,7511.0,27987.0,0.0,20.0,100.0,5,0,1000647,56.0,146911048.0,196828,133113.6329170751,1454,15159.28205128205,0,2,0,1,1,1,24375.0,471,10,1,2,2,31,29,1,1,39,91,27367.0,4621961.0,0,0,1,0,1,0,0.0,0.0,55.12,1704384.52,29.0
13421,신정남부점,"서울특별시 양천구 오목로50길 24,101호(신정동)",126.864094880371,37.5238511884102,2291748.777777778,"[126.864094880371, 37.5238511884102]",5,22,85,40,210,667,0,0,8,53539.0,78385.0,395614.0,20.0,29.0,231.0,6,1,1000522,54.0,146381325.0,1158690,324912.65693906485,3362,22167.25641025641,1,1,1,1,1,1,24375.0,1178,89,0,0,1,92,68,0,0,53,155,0.0,10633809.0,0,0,1,0,1,1,0.0,2.0,120.72,4751037.53,74.0
13450,갈현선일점,"서울특별시 은평구 갈현로 29길 2갈현동, 갈현동다세대",126.915206335419,37.619329441153,1975263.0,"[126.915206335419, 37.619329441153]",0,15,51,49,118,280,0,11,32,0.0,64285.0,196829.0,0.0,40.0,220.0,5,0,1000404,51.0,130828177.0,393252,324912.65693906485,2881,22167.25641025641,1,1,1,1,2,2,24375.0,2130,22,1,6,9,81,21,1,6,60,217,288640.0,8034236.0,0,0,1,0,1,0,0.0,1.0,133.18,2656871.52,183.0
